strada;desvia;percorso;lato;tratto;note;data pulizia;orario pulizia inizio;orario pulizia fine;divieto di sosta inizio;divieto di sosta fine;data posizionamento segnaletica;data prima pubblicazione;data aggiornamento
4047;PONTE DEI MILLE;21;entrambi;;;14/10/20;20.15;4.00;19.00;5.00;12/10/20;28/09/20;
2200;VIA PALERMO;21;entrambi;compreso parcheggio;compreso parcheggio;14/10/20;20.15;4.00;19.00;5.00;12/10/20;28/09/20;
865;VIA S.F.CROSINA-B.SARTORI;21;entrambi;compreso parcheggio;compreso parcheggio;14/10/20;20.15;4.00;19.00;5.00;12/10/20;28/09/20;
1890;VIA MILANO;22;nord;;;15/10/20;20.15;4.00;19.00;5.00;13/10/20;28/09/20;
2050;VIA A. NICOLODI;22;est;;;15/10/20;20.15;4.00;19.00;5.00;13/10/20;28/09/20;
170;VIA A. APOLLONIO;22;sud;;;15/10/20;20.15;4.00;19.00;5.00;13/10/20;28/09/20;
410;VIA O. BRENTARI;22;entrambi;;;15/10/20;20.15;4.00;19.00;5.00;13/10/20;28/09/20;
1380;VIA GORIZIA;22;entrambi;da incrocio Piazza Vicenza a  Via Regina Pacis;da incrocio Piazza Vicenza a  Via Regina Pacis;15/10/20;20.15;4.00;19.00;5.00;13/10/20;28/09/20;
110;VIA ALTIPIANI;22;entrambi;;;15/10/20;20.15;4.00;19.00;5.00;13/10/20;28/09/20;
2210;VIA G. P. DA PALESTRINA;22;entrambi;;;15/10/20;20.15;4.00;19.00;5.00;13/10/20;28/09/20;
2550;VIA G. RANZI;22;entrambi;;;15/10/20;20.15;4.00;19.00;5.00;13/10/20;28/09/20;
2570;VIA REGINA PACIS;22;entrambi;;;15/10/20;20.15;4.00;19.00;5.00;13/10/20;28/09/20;
150;VIA L. ANZOLETTI;22;est;;;15/10/20;20.15;4.00;19.00;5.00;13/10/20;28/09/20;
340;VIALE N. BOLOGNINI;22;entrambi;da Ponte dei Mille al civico 96 ;da Ponte dei Mille al civico 96 ;15/10/20;20.15;4.00;19.00;5.00;13/10/20;28/09/20;
280;VIA O. BENEVOLI;22;entrambi;;;15/10/20;20.15;4.00;19.00;5.00;13/10/20;28/09/20;
3270;VIA TOFANE;22;entrambi;;;15/10/20;20.15;4.00;19.00;5.00;13/10/20;28/09/20;
920;VIA AL DESERT;23;entrambi;;;16/10/20;20.15;2.30;19.00;5.00;14/10/20;28/09/20;
2090;VIA G. ONESTINGHEL;23;entrambi;;;16/10/20;20.15;2.30;19.00;5.00;14/10/20;28/09/20;
1380;VIA GORIZIA;23;entrambi;da incrocio Piazza Vicenza a incrocio Via Bolghera;da incrocio Piazza Vicenza a incrocio Via Bolghera;16/10/20;20.15;2.30;19.00;5.00;14/10/20;28/09/20;
975;L.GO DONATORI VOL. SANGUE;23;entrambi;;;16/10/20;20.15;2.30;19.00;5.00;14/10/20;28/09/20;
1370;VIA GOCCIADORO;23;entrambi;da Largo Donatori Vol. Sangue a  incrocio Viale Verona;da Largo Donatori Vol. Sangue a  incrocio Viale Verona;16/10/20;20.15;2.30;19.00;5.00;14/10/20;28/09/20;
2040;VIA NICOLO' D'ARCO;23;entrambi;;;16/10/20;20.15;2.30;19.00;5.00;14/10/20;28/09/20;
2930;VIA SANT'ANTONIO;23;entrambi;;;16/10/20;20.15;2.30;19.00;5.00;14/10/20;28/09/20;
3470;PIAZZA VICENZA;23;entrambi;da incrocio Via Vicenza a Via Pasubio;da incrocio Via Vicenza a Via Pasubio;16/10/20;20.15;2.30;19.00;5.00;14/10/20;28/09/20;
1300;VIA G. GEROLA;23;entrambi;;;16/10/20;20.15;2.30;19.00;5.00;14/10/20;28/09/20;
1310;VIA DELLE GHIAIE;23;entrambi;rotonda all'incrocio con Via A. Degasperi;rotonda all'incrocio con Via A. Degasperi;16/10/20;20.15;2.30;19.00;5.00;14/10/20;28/09/20;
